Centroid Mass	Relative Intensity
506.664612	78.3307
506.679992	68.3146
506.695371	64.4623
506.710751	65.4896
506.726132	54.1894
506.741512	41.3483
506.756893	41.6051
506.772273	42.1188
506.787655	36.2119
506.803036	44.687
506.818417	61.8941
506.833799	57.5281
506.849181	42.3756
506.864564	34.4141
506.879946	36.2119
506.895329	47.512
506.910712	50.8507
506.926095	39.5506
506.941478	43.6597
506.956862	37.496
506.972246	30.305
506.987630	31.0754
507.003015	39.2937
507.018399	33.9005
507.033784	30.305
507.049169	35.9551
507.064554	43.4029
507.079940	48.0257
507.095326	48.0257
507.110712	40.0642
507.126098	37.496
507.141484	34.1573
507.156871	36.2119
507.172258	26.9663
507.187645	28.764
507.203033	38.5233
507.218420	38.5233
507.233808	26.9663
507.249196	29.0209
507.264584	43.6597
507.279973	58.2986
507.295362	59.8395
507.310751	53.419
507.326140	51.878
507.341530	51.3644
507.356919	47.2552
507.372309	44.4302
507.387700	60.3531
507.403090	73.4511
507.418481	78.3307
507.433872	75.7625
507.449263	72.6806
507.464654	73.4511
507.480046	73.4511
507.495437	89.6309
507.510830	89.1172
507.526222	86.549
507.541614	86.549
507.557007	86.0353
507.572400	67.801
507.587793	59.069
507.603187	48.7962
507.618581	58.5554
507.633975	77.0466
507.649369	76.0193
507.664763	72.6806
507.680158	65.2328
507.695553	56.5008
507.710948	47.512
507.726343	44.4302
507.741739	35.1846
507.757134	35.4414
507.772530	27.7368
507.787927	24.9117
507.803323	20.5457
507.818720	25.939
507.834117	40.0642
507.849514	28.764
507.864912	22.0867
507.880309	26.7095
507.895707	27.2231
507.911105	27.9936
507.926504	39.0369
507.941902	42.1188
507.957301	36.4687
507.972700	32.1027
507.988099	30.305
508.003499	23.3708
508.018899	22.6003
508.034299	26.9663
508.049699	33.6437
508.065099	40.321
508.080500	46.4847
508.095901	47.2552
508.111302	47.2552
508.126704	39.0369
508.142105	33.6437
508.157507	39.8074
508.172909	44.9438
508.188312	40.321
508.203714	34.9278
508.219117	41.0915
508.234520	43.6597
508.249923	43.9165
508.265327	46.9984
508.280731	43.6597
508.296134	48.7961
508.311539	49.5666
508.326943	59.069
508.342348	48.7961
508.357753	35.4414
508.373158	32.8732
508.388563	42.8892
508.403969	52.9053
508.419375	67.2873
508.434781	69.8556
508.450187	60.61
508.465594	52.9053
508.481000	48.5393
508.496407	56.7576
508.511815	61.3804
508.527222	61.3804
508.542630	68.5714
508.558038	71.6533
508.573446	67.2873
508.588854	62.6645
508.604263	52.1348
508.619672	63.1782
508.635081	76.0193
508.650490	63.9486
508.665900	56.5008
508.681310	56.7576
508.696720	48.2825
508.712130	37.496
508.727540	33.3868
508.742951	35.955
508.758362	41.6051
508.773773	36.4687
508.789185	23.8844
508.804596	21.0594
508.820008	22.0867
508.835420	26.4526
508.850833	31.0754
508.866245	35.1846
508.881658	29.7913
508.897071	25.6822
508.912485	28.2504
508.927898	28.764
508.943312	30.305
508.958726	46.2279
508.974140	58.0417
508.989555	43.6597
509.004969	32.6164
509.020384	22.3435
509.035799	25.4253
509.051215	32.3595
509.066631	25.6822
509.082046	25.1685
509.097463	32.3595
509.112879	33.6437
509.128295	29.0209
509.143712	35.1846
509.159129	35.1846
509.174547	50.0803
509.189964	55.4735
509.205382	46.4847
509.220800	34.6709
509.236218	39.8074
509.251636	60.3531
509.267055	60.8668
509.282474	46.7416
509.297893	36.4687
509.313312	29.7913
509.328732	35.955
509.344152	46.4847
509.359572	56.244
509.374992	52.3917
509.390413	57.5281
509.405834	69.5987
509.421255	72.9374
509.436676	62.9214
509.452097	66.7737
509.467519	85.008
509.482941	92.9695
509.498363	112.231
509.513786	124.045
509.529208	127.384
509.544631	123.275
509.560054	124.815
509.575478	129.695
509.590901	130.722
509.606325	122.504
509.621749	112.488
509.637173	99.1332
509.652598	92.7127
509.668022	88.6035
509.683447	78.8443
509.698873	75.2488
509.714298	69.0851
509.729724	66.0032
509.745150	58.8122
509.760576	51.6212
509.776002	53.1621
509.791429	45.9711
509.806856	39.8074
509.822283	42.6324
509.837710	55.2167
509.853138	57.5281
509.868565	45.7143
509.883993	47.512
509.899422	55.7303
509.914850	51.878
509.930279	51.1075
509.945708	44.1733
509.961137	41.6051
509.976566	47.2552
509.991996	50.8507
510.007426	46.9984
510.022856	48.0257
510.038286	50.0802
510.053717	45.2006
510.069148	44.4302
510.084579	34.9277
510.100010	30.8186
510.115441	31.5891
510.130873	37.2391
510.146305	45.7143
510.161737	49.8234
510.177170	53.4189
510.192602	60.8668
510.208035	57.2713
510.223469	67.2873
510.238902	70.8828
510.254335	66.5168
510.269769	59.3258
510.285203	65.2327
510.300638	63.9486
510.316072	46.9984
510.331507	36.2118
510.346942	34.4141
510.362377	43.9165
510.377813	55.2167
510.393248	55.4735
510.408684	55.7303
510.424121	51.878
510.439557	51.6212
510.454994	61.3804
510.470430	66.5168
510.485868	64.4623
510.501305	61.3804
510.516743	76.7897
510.532180	85.5217
510.547618	91.9422
510.563057	86.0353
510.578495	82.183
510.593934	72.4237
510.609373	68.3146
510.624812	72.6806
510.640252	71.3965
510.655691	61.6372
510.671131	45.9711
510.686571	33.6436
510.702012	31.0754
510.717452	43.6597
510.732893	58.0417
510.748334	67.0305
510.763775	55.7303
510.779217	39.2937
510.794659	40.0642
510.810101	40.0642
510.825543	43.9165
510.840985	31.589
510.856428	24.398
510.871871	33.9004
510.887314	36.2118
510.902758	35.6982
510.918201	38.2664
510.933645	34.6709
510.949089	38.2664
510.964534	44.9438
510.979978	50.337
510.995423	50.0802
511.010868	50.5939
511.026313	56.244
511.041759	49.5666
511.057205	37.7528
511.072651	38.7801
511.088097	41.6051
511.103543	44.9438
511.118990	49.0529
511.134437	46.7415
511.149884	47.512
511.165331	60.3531
511.180779	82.183
511.196227	108.379
511.211675	114.543
511.227123	117.881
511.242572	102.472
511.258021	88.6035
511.273470	71.6533
511.288919	79.6148
511.304368	72.1669
511.319818	70.626
511.335268	69.3419
511.350718	61.3804
511.366168	56.7576
511.381619	65.7464
511.397070	72.6806
511.412521	74.7351
511.427972	60.3531
511.443424	60.3531
511.458876	63.435
511.474328	59.3258
511.489780	57.0144
511.505233	54.4462
511.520685	68.5714
511.536138	78.8443
511.551592	67.2873
511.567045	57.0144
511.582499	48.5393
511.597953	49.5666
511.613407	53.1621
511.628861	56.7576
511.644316	69.5987
511.659771	63.1782
511.675226	41.3483
511.690681	28.764
511.706137	34.1573
511.721592	46.7416
511.737048	66.7737
511.752505	68.8282
511.767961	58.8122
511.783418	44.1733
511.798875	43.9165
511.814332	57.0144
511.829789	58.0417
511.845247	41.8619
511.860705	43.146
511.876163	47.7688
511.891621	46.4847
511.907080	35.4414
511.922539	33.3868
511.937998	38.2664
511.953457	46.4847
511.968916	43.146
511.984376	48.5393
511.999836	46.7416
512.015296	45.2006
512.030757	46.7416
512.046218	51.878
512.061678	56.244
512.077140	55.4735
512.092601	37.496
512.108063	23.3708
512.123524	27.7367
512.138987	43.9165
512.154449	55.9871
512.169911	52.9053
512.185374	55.7303
512.200837	55.4735
512.216300	51.6212
512.231764	53.6758
512.247228	55.9871
512.262692	66.0032
512.278156	81.6693
512.293620	71.1396
512.309085	58.5554
512.324550	48.2825
512.340015	46.9984
512.355480	53.6757
512.370946	58.5554
512.386412	69.3419
512.401878	57.7849
512.417344	47.7688
512.432810	41.6051
512.448277	46.2279
512.463744	63.6918
512.479211	68.8282
512.494679	78.3307
512.510146	95.2809
512.525614	89.8876
512.541082	75.5056
512.556551	74.7351
512.572019	77.5602
512.587488	87.8331
512.602957	78.5875
512.618427	65.2327
512.633896	56.5008
512.649366	62.6645
512.664836	58.2985
512.680306	44.4301
512.695777	25.1685
512.711247	25.1685
512.726718	32.3595
512.742190	41.3483
512.757661	41.6051
512.773133	33.6436
512.788605	33.9004
512.804077	38.7801
512.819549	41.0915
512.835022	46.4847
512.850494	51.3643
512.865967	45.2006
512.881441	46.9984
512.896914	54.4462
512.912388	50.337
512.927862	48.5393
512.943336	45.4574
512.958811	36.7255
512.974285	33.13
512.989760	35.955
513.005235	38.7801
513.020711	57.5281
513.036186	66.5168
513.051662	55.4735
513.067138	34.1573
513.082615	31.3322
513.098091	38.2664
513.113568	48.0256
513.129045	53.1621
513.144522	47.512
513.160000	42.1187
513.175477	45.2006
513.190955	50.337
513.206433	55.2167
513.221912	57.5281
513.237391	52.3916
513.252869	37.4959
513.268349	55.9871
513.283828	69.085
513.299307	78.3306
513.314787	70.1123
513.330267	60.6099
513.345748	60.8667
513.361228	77.0465
513.376709	91.1717
513.392190	96.565
513.407671	92.7127
513.423152	82.9534
513.438634	84.4943
513.454116	87.833
513.469598	101.958
513.485081	97.3354
513.500563	85.2648
513.516046	95.024
513.531529	83.9807
513.547012	79.3579
513.562496	93.4831
513.577980	92.4558
513.593464	82.4398
513.608948	73.1942
513.624433	51.1075
513.639917	51.8779
513.655402	51.3643
513.670887	50.5938
513.686373	63.1781
513.701858	62.6645
513.717344	55.9871
513.732830	58.0417
513.748317	62.1508
513.763803	58.2985
513.779290	45.971
513.794777	44.4301
513.810265	50.0802
513.825752	51.8779
513.841240	45.7142
513.856728	44.4301
513.872216	44.9438
513.887704	38.0096
513.903193	33.1299
513.918682	34.6709
513.934171	48.0256
513.949661	48.0256
513.965150	37.2391
513.980640	41.8619
513.996130	48.5393
514.011620	51.8779
514.027111	46.9983
514.042602	33.9004
514.058093	29.5344
514.073584	35.4413
514.089075	41.0914
514.104567	45.2006
514.120059	48.5393
514.135551	51.6211
514.151044	50.5938
514.166536	48.7961
514.182029	63.4349
514.197522	77.3033
514.213016	59.069
514.228509	42.8892
514.244003	51.6211
514.259497	73.9646
514.274991	78.3306
514.290486	70.3691
514.305981	68.0577
514.321476	66.5168
514.336971	57.528
514.352466	57.2712
514.367962	66.7736
514.383458	84.4943
514.398954	83.7239
514.414450	67.5441
514.429947	68.5714
514.445444	72.1669
514.460941	70.626
514.476438	64.4622
514.491936	67.5441
514.507434	87.0626
514.522932	101.958
514.538430	100.16
514.553928	92.199
514.569427	77.817
514.584926	71.6532
514.600425	75.5056
514.615925	69.085
514.631424	61.1235
514.646924	56.7576
514.662424	57.528
514.677925	54.9598
514.693425	51.3643
514.708926	50.337
514.724427	48.0256
514.739928	49.0529
514.755430	46.7415
514.770932	35.6982
514.786434	27.4799
514.801936	33.13
514.817438	41.8619
514.832941	42.3755
514.848444	43.6597
514.863947	45.2006
514.879450	52.6484
514.894954	52.3916
514.910458	61.1236
514.925962	63.9486
514.941466	63.1781
514.956971	55.7303
514.972476	48.0256
514.987981	42.3755
515.003486	41.6051
515.018991	44.9438
515.034497	49.3097
515.050003	52.9053
515.065509	42.3755
515.081016	39.5505
515.096522	40.5778
515.112029	38.0096
515.127536	44.9438
515.143044	58.8122
515.158551	64.9759
515.174059	77.3033
515.189567	74.4783
515.205075	77.0465
515.220584	77.0465
515.236093	77.5602
515.251602	83.4671
515.267111	80.3852
515.282620	58.2985
515.298130	56.7576
515.313640	66.5168
515.329150	59.5826
515.344660	50.337
515.360171	53.6757
515.375682	70.626
515.391193	72.6805
515.406704	73.451
515.422216	95.2809
515.437728	115.313
515.453240	108.636
515.468752	104.783
515.484264	108.379
515.499777	127.64
515.515290	142.279
515.530803	136.629
515.546317	116.083
515.561830	100.417
515.577344	87.5762
515.592858	89.6308
515.608373	85.008
515.623887	85.7785
515.639402	81.6693
515.654917	80.8988
515.670432	85.7785
515.685948	91.1717
515.701464	79.8715
515.716980	69.3418
515.732496	66.7736
515.748012	58.2985
515.763529	43.4028
515.779046	40.321
515.794563	46.7415
515.810081	50.337
515.825598	50.337
515.841116	52.9052
515.856634	48.5393
515.872152	49.5665
515.887671	53.6757
515.903190	53.6757
515.918709	46.2279
515.934228	46.4847
515.949748	56.5007
515.965267	55.4735
515.980787	55.7303
515.996307	51.1075
516.011828	49.8234
516.027348	59.069
516.042869	68.3146
516.058390	62.4076
516.073912	54.4462
516.089433	44.9437
516.104955	34.9277
516.120477	34.1572
516.136000	45.4574
516.151522	66.0032
516.167045	75.2487
516.182568	65.4895
516.198091	54.703
516.213614	59.8394
516.229138	62.6645
516.244662	52.3916
516.260186	45.2006
516.275711	40.5778
516.291235	31.3322
516.306760	38.2664
516.322285	41.8619
516.337810	45.4574
516.353336	51.1075
516.368862	58.0417
516.384388	67.8009
516.399914	59.069
516.415441	48.2824
516.430967	50.8507
516.446494	71.1396
516.462021	82.4398
516.477549	61.6372
516.493077	53.9325
516.508604	49.0529
516.524133	54.703
516.539661	66.7736
516.555189	82.9534
516.570718	75.7624
516.586247	63.4349
516.601777	43.9165
516.617306	31.0754
516.632836	33.3868
516.648366	41.8619
516.663896	61.6372
516.679427	85.7784
516.694957	76.5329
516.710488	61.894
516.726019	40.0641
516.741551	31.0754
516.757082	47.2551
516.772614	61.6372
516.788146	47.2551
516.803679	41.3482
516.819211	42.3755
516.834744	47.2551
516.850277	38.5232
516.865810	33.9004
516.881344	36.2118
516.896877	36.2118
516.912411	39.5505
516.927946	41.6051
516.943480	47.2551
516.959015	47.2551
516.974550	44.6869
516.990085	46.4847
517.005620	54.1893
517.021156	54.1893
517.036691	47.7688
517.052227	40.5778
517.067764	36.2118
517.083300	44.6869
517.098837	43.6596
517.114374	34.1572
517.129911	25.4253
517.145449	42.8892
517.160986	48.7961
517.176524	43.146
517.192062	47.7688
517.207601	60.8667
517.223139	67.0304
517.238678	56.2439
517.254217	48.0256
517.269757	46.2279
517.285296	49.3097
517.300836	59.8394
517.316376	53.6757
517.331916	48.7961
517.347457	49.0529
517.362998	62.1508
517.378539	76.7897
517.394080	75.5056
517.409621	64.2054
517.425163	67.5441
517.440705	80.1283
517.456247	82.4398
517.471789	82.9534
517.487332	75.5056
517.502875	63.4349
517.518418	52.6484
517.533961	56.7576
517.549504	60.6099
517.565048	86.0353
517.580592	89.3739
517.596136	74.4783
517.611681	59.3258
517.627226	59.3258
517.642770	52.9052
517.658316	45.7142
517.673861	50.5938
517.689407	69.3418
517.704952	75.2487
517.720499	71.1396
517.736045	67.0304
517.751591	72.1669
517.767138	79.6147
517.782685	70.1123
517.798233	54.4462
517.813780	50.5938
517.829328	46.2279
517.844876	41.8619
517.860424	41.8619
517.875972	39.2937
517.891521	47.512
517.907070	50.337
517.922619	59.5826
517.938168	54.9598
517.953718	29.0208
517.969268	24.1412
517.984818	30.0481
518.000368	38.0096
518.015919	47.512
518.031469	48.0256
518.047020	41.0914
518.062572	42.8892
518.078123	59.069
518.093675	61.894
518.109227	51.1075
518.124779	55.7303
518.140331	54.9598
518.155884	46.7415
518.171437	51.6211
518.186990	58.8121
518.202543	57.7849
518.218097	45.7142
518.233650	38.5232
518.249204	47.512
518.264759	67.0304
518.280313	72.6805
518.295868	76.5329
518.311423	76.0192
518.326978	67.0305
518.342533	67.0305
518.358089	66.0032
518.373645	87.3194
518.389201	94.2536
518.404758	82.6966
518.420314	68.3146
518.435871	64.4622
518.451428	78.5874
518.466985	92.9695
518.482543	97.0786
518.498101	85.7785
518.513659	77.817
518.529217	93.7399
518.544775	103.499
518.560334	96.8218
518.575893	94.2536
518.591452	88.0899
518.607011	80.642
518.622571	78.5874
518.638131	71.3964
518.653691	53.6757
518.669251	43.6597
518.684812	59.8394
518.700373	76.7897
518.715934	77.817
518.731495	72.4237
518.747056	63.9486
518.762618	58.2985
518.778180	62.1508
518.793742	74.9919
518.809305	72.1669
518.824867	50.337
518.840430	44.6869
518.855993	59.5826
518.871557	59.8394
518.887120	52.1348
518.902684	41.6051
518.918248	46.2279
518.933812	55.9871
518.949377	54.1894
518.964942	35.1845
518.980507	31.589
518.996072	29.5345
519.011637	26.7094
519.027203	26.4526
519.042769	29.7913
519.058335	40.5778
519.073902	55.7303
519.089468	51.3643
519.105035	32.3595
519.120602	30.5617
519.136170	36.7255
519.151737	47.2552
519.167305	49.8234
519.182873	49.0529
519.198441	41.6051
519.214010	38.78
519.229578	42.1187
519.245147	50.5938
519.260717	61.894
519.276286	66.0032
519.291856	48.7961
519.307426	51.878
519.322996	64.2054
519.338566	63.4349
519.354137	74.4783
519.369707	79.8716
519.385278	88.0899
519.400850	81.1557
519.416421	82.6966
519.431993	83.4671
519.447565	96.3082
519.463137	90.6581
519.478710	81.9261
519.494282	77.0465
519.509855	84.4944
519.525428	97.8491
519.541002	102.986
519.556576	101.701
519.572149	100.417
519.587723	105.04
519.603298	100.931
519.618872	89.6308
519.634447	97.8491
519.650022	102.986
519.665597	108.892
519.681173	95.0241
519.696749	75.7624
519.712325	68.0577
519.727901	64.7191
519.743477	58.5553
519.759054	58.0417
519.774631	64.7191
519.790208	78.8443
519.805785	74.7351
519.821363	54.9598
519.836941	49.0529
519.852519	62.4077
519.868097	70.1123
519.883676	70.3691
519.899254	63.6918
519.914833	58.2985
519.930413	61.894
519.945992	62.9213
519.961572	48.5393
519.977152	48.0256
519.992732	45.4574
520.008312	46.4847
520.023893	37.2391
520.039474	42.3755
520.055055	50.337
520.070636	60.0963
520.086218	57.528
520.101799	49.8234
520.117381	47.2552
520.132964	55.7303
520.148546	61.1236
520.164129	54.4462
520.179712	53.6757
520.195295	50.5939
520.210879	52.3916
520.226462	41.3483
520.242046	29.7913
520.257630	25.4253
520.273215	38.5232
520.288799	51.6211
520.304384	50.337
520.319969	45.2006
520.335554	48.0256
520.351140	59.069
520.366726	67.5441
520.382312	64.9759
520.397898	67.8009
520.413484	73.7078
520.429071	72.9374
520.444658	71.3964
520.460245	65.4895
520.475833	72.1669
520.491420	80.642
520.507008	72.6805
520.522596	70.1123
520.538184	71.3964
520.553773	72.4237
520.569362	69.085
520.584951	60.3531
520.600540	64.4622
520.616130	61.3804
520.631719	72.9374
520.647309	74.2215
520.662899	79.6147
520.678490	76.7897
520.694081	64.4622
520.709671	57.5281
520.725263	52.9053
520.740854	62.1509
520.756446	71.9101
520.772037	77.817
520.787629	67.2873
520.803222	66.0032
520.818814	61.894
520.834407	72.4237
520.850000	73.451
520.865593	60.8667
520.881187	50.8507
520.896780	51.3643
520.912374	53.6757
520.927968	52.1348
520.943563	52.6484
520.959157	42.8892
520.974752	32.6163
520.990347	38.2664
521.005943	46.2279
521.021538	49.0529
521.037134	51.3643
521.052730	40.321
521.068326	27.7367
521.083923	28.2504
521.099520	34.4141
521.115117	39.2937
521.130714	50.337
521.146311	56.244
521.161909	59.3258
521.177507	47.2552
521.193105	43.9165
521.208703	52.6484
521.224302	61.1236
521.239901	60.0963
521.255500	55.4735
521.271099	58.0417
521.286699	69.5987
521.302298	58.8122
521.317898	54.9599
521.333499	61.1236
521.349099	62.6645
521.364700	66.5168
521.380301	71.3965
521.395902	77.3034
521.411503	81.1557
521.427105	84.2376
521.442707	90.6581
521.458309	111.974
521.473911	133.804
521.489514	136.116
521.505117	132.52
521.520720	124.045
521.536323	131.236
521.551926	142.023
521.567530	149.727
521.583134	137.143
521.598738	133.034
521.614343	125.586
521.629947	103.756
521.645552	105.811
521.661157	121.22
521.676763	116.083
521.692368	92.9695
521.707974	82.183
521.723580	67.801
521.739186	50.3371
521.754793	32.3595
521.770400	33.9005
521.786007	47.512
521.801614	54.9599
521.817221	50.5939
521.832829	41.0915
521.848437	39.2937
