Index	Centroid Mass	Lower Bound	Upper Bound	Charge (z)	Height	Relative Intensity	Area	S/N Ratio	Resolution	Isotope Cluster Area
67	1100.679199	1100.24	1101.16	1	92	0.85	1259.65	11.71	5227.11	680.22
68	1101.700439	1101.33	1102.09	1	125	1.15	1447.98	24.94	6910.51	1945.12
69	1102.703613	1102.30	1103.06	1	100	0.91	1130.51	12.79	6938.06	635.72
70	1103.711792	1103.34	1104.24	1	66	0.61	998.07	10.99	4355.30	967.08
71	1105.844727	1105.74	1106.20	1	198	1.81	1290.93	44.11	12375.79	2484.02
72	1108.744629	1108.34	1109.23	1	177	1.62	1818.58	37.98	7543.88	2846.24
73	1109.690918	1109.23	1110.17	1	129	1.18	1972.69	20.68	3980.12	1712.31
74	1111.623291	1111.35	1112.17	1	342	3.14	3387.14	80.84	7652.45	6376.39
75	1113.676758	1113.26	1114.15	1	122	1.12	1776.67	18.03	4448.19	1318.65
76	1115.566284	1115.41	1116.12	1	322	2.96	3173.03	76.88	7241.46	6144.13
77	1120.579834	1120.37	1121.08	1	112	1.03	1289.85	22.09	6410.47	1681.26
78	1122.708984	1122.36	1123.12	1	63	0.58	1023.19	15.04	3419.05	2046.22
79	1123.672729	1123.25	1124.23	1	711	6.53	4845.50	159.19	12541.04	8104.97
80	1125.661743	1125.21	1126.19	1	391	3.59	3377.78	80.23	9555.88	4757.12
81	1127.615967	1127.40	1128.22	1	162	1.49	2305.22	30.41	4432.55	2744.99
82	1129.681396	1129.26	1130.26	1	131	1.21	2003.28	25.22	4124.04	2446.42
83	1130.699829	1130.26	1131.29	1	112	1.03	1645.59	15.75	5224.31	1074.91
84	1133.241943	1133.13	1133.38	1	113	1.04	502.99	28.57	17002.78	1120.18
85	1133.834106	1133.74	1134.14	1	106	0.98	714.63	21.58	14981.24	1497.96
86	1134.242798	1134.14	1134.40	1	128	1.18	585.94	18.52	16894.03	421.53
87	1135.241943	1135.14	1135.42	1	126	1.15	619.64	21.89	15682.80	645.23
88	1135.852417	1135.75	1136.14	1	103	0.95	722.38	16.54	13504.94	822.55
89	1137.649414	1137.38	1138.09	1	83	0.76	1100.60	18.24	6614.35	1896.32
90	1139.647217	1139.40	1140.17	1	132	1.21	1521.50	28.54	6372.69	2446.73
91	1141.555542	1141.43	1142.11	1	2321	21.30	16300.23	545.05	11267.02	30044.14
92	1145.722168	1145.63	1146.19	1	102	0.94	1003.96	17.33	7484.65	2239.79
93	1147.683472	1147.31	1148.28	1	164	1.50	1817.34	35.66	7026.77	2871.55
94	1152.574829	1152.35	1153.16	1	99	0.91	1188.98	23.91	7535.43	2374.92
95	1153.619629	1153.34	1154.01	1	100	0.91	1302.33	13.62	5790.72	865.21
96	1155.614502	1155.40	1156.27	1	302	2.77	2903.05	70.46	8905.73	5262.47
97	1157.543457	1157.40	1158.24	1	496	4.55	4112.92	105.42	9775.87	6269.97
98	1161.682617	1161.29	1162.22	1	236	2.17	2152.61	53.21	9176.96	3643.78
99	1163.884888	1163.78	1164.16	1	197	1.81	1314.27	43.78	13114.92	2603.32
100	1167.696045	1167.37	1168.29	1	553	5.08	3634.22	134.26	13645.89	7150.33
101	1169.684937	1169.27	1170.24	1	250	2.29	2270.00	40.86	9562.93	2034.15
102	1171.566772	1171.44	1171.98	1	4534	41.60	31038.15	1055.08	11591.15	56435.89
103	1175.708496	1175.42	1176.28	1	110	1.01	1407.92	22.89	6730.54	2064.22
104	1181.685669	1181.44	1182.32	1	62	0.57	876.87	15.94	6393.90	1869.45
105	1183.677734	1183.34	1184.23	1	75	0.69	941.42	15.11	7430.41	1233.88
106	1185.614014	1185.35	1186.03	1	97	0.89	1285.53	18.38	4665.01	1603.19
107	1187.530273	1187.42	1188.28	1	408	3.74	2908.66	82.83	14739.77	3972.90
108	1189.767090	1189.65	1190.28	1	75	0.69	726.52	11.08	9996.48	812.57
109	1191.847412	1191.43	1192.27	1	86	0.79	1058.03	19.03	6770.88	1686.62
110	1193.892578	1193.80	1194.13	1	98	0.90	619.63	14.63	13833.62	572.56
111	1197.665283	1197.34	1198.17	1	61	0.56	813.25	15.50	6253.20	1800.01
112	1199.647705	1199.31	1200.21	1	311	2.86	2513.16	73.55	10847.15	4658.85
113	1201.661255	1201.22	1202.18	1	325	2.98	3197.98	72.13	7660.71	5292.46
114	1211.723389	1211.45	1212.20	1	395	3.63	2560.18	98.36	14080.05	5355.26
115	1213.708984	1213.39	1214.28	1	198	1.81	1737.96	36.83	9433.31	2014.65
116	1215.704956	1215.35	1216.30	1	55	0.51	836.83	11.01	4602.15	1087.19
117	1217.804688	1217.32	1218.32	1	84	0.77	887.18	17.72	11440.66	1292.46
118	1221.930298	1221.80	1222.31	1	191	1.75	1274.30	44.35	13454.37	2604.47
119	1223.610596	1223.48	1223.83	1	147	1.35	1183.47	33.15	11187.30	2427.86
120	1225.691528	1225.35	1226.10	1	55	0.51	891.81	10.31	4674.52	1129.43
121	1227.715454	1227.36	1228.31	1	60	0.55	736.26	11.74	7240.78	933.75
122	1233.794800	1233.35	1234.30	1	63	0.58	721.30	14.16	10334.61	1164.36
123	1240.730591	1240.46	1241.32	1	49	0.45	776.04	10.97	5250.03	1247.78
124	1241.688721	1241.32	1242.09	1	93	0.85	1092.78	17.17	6429.78	1288.23
125	1243.672241	1243.38	1244.06	1	394	3.62	2737.28	91.73	12289.70	4985.95
126	1247.568604	1247.43	1248.11	1	108	0.99	895.28	23.61	13942.81	1453.42
127	1249.921021	1249.84	1250.34	1	62	0.57	424.36	14.21	15237.13	955.27
128	1251.937744	1251.83	1252.39	1	91	0.83	622.30	17.46	14863.59	847.30
129	1254.727051	1254.39	1255.08	1	114	1.05	1150.58	32.58	7580.18	2762.31
130	1255.745972	1255.38	1256.08	1	330	3.03	2519.11	70.37	12074.03	3410.06
131	1257.728882	1257.36	1258.04	1	178	1.63	1574.68	36.13	9593.40	1970.89
132	1259.704346	1259.36	1260.04	1	58	0.54	897.34	11.20	4631.73	1042.60
133	1261.830933	1261.70	1262.36	1	65	0.59	577.32	12.93	14257.82	928.10
134	1268.732300	1268.40	1269.05	1	115	1.05	1091.71	32.86	8763.45	2620.06
135	1271.718628	1271.32	1272.02	1	60	0.55	661.44	12.89	7249.77	896.71
136	1279.974487	1279.84	1280.35	1	173	1.59	1155.59	43.74	13123.34	2294.10
137	1282.750732	1282.43	1282.92	1	52	0.48	531.69	12.11	9035.51	1175.39
138	1285.704712	1285.38	1286.04	1	67	0.62	670.93	15.85	8583.94	1073.54
139	1286.728149	1286.39	1287.05	1	72	0.66	716.24	12.29	8241.50	606.65
140	1287.698242	1287.45	1288.06	1	509	4.67	3444.58	132.65	12770.97	6488.03
141	1289.654663	1289.49	1290.10	1	357	3.27	3033.65	78.30	8745.74	4069.06
142	1293.612793	1293.48	1294.31	1	209	1.92	1654.81	55.80	13164.32	3175.70
143	1299.773926	1299.45	1300.41	1	150	1.37	1232.46	40.76	14427.84	2409.40
144	1301.747437	1301.48	1302.33	1	163	1.50	1556.11	40.75	9633.17	2573.80
145	1303.690186	1303.42	1304.09	1	71	0.65	841.56	13.44	6662.40	833.77
146	1304.730469	1304.45	1305.11	1	70	0.64	794.24	11.70	6799.21	610.22
147	1305.849854	1305.78	1306.47	1	60	0.55	500.47	10.53	14187.70	836.59
148	1307.962158	1307.45	1308.37	1	49	0.45	682.46	13.69	7730.75	1335.66
149	1309.983154	1309.87	1310.31	1	81	0.74	545.24	15.88	15072.17	631.74
150	1313.143921	1313.05	1313.39	1	124	1.14	574.66	37.33	18018.89	1379.54
151	1313.702759	1313.39	1314.03	1	50	0.46	728.79	12.66	5239.46	1342.01
152	1314.143677	1314.03	1314.47	1	167	1.54	774.07	30.35	17972.40	676.67
153	1315.143799	1315.03	1315.43	1	188	1.72	863.04	38.52	17837.18	956.65
154	1315.650146	1315.43	1316.03	1	189	1.74	1551.72	49.11	10383.24	2737.09
155	1318.752075	1318.42	1319.04	1	70	0.64	747.95	14.68	9225.63	924.07
156	1319.715942	1319.41	1320.08	1	61	0.56	803.47	10.49	5666.20	646.16
157	1326.673706	1326.38	1326.90	1	46	0.42	458.51	12.41	9344.89	1100.67
158	1329.703003	1329.38	1330.02	1	72	0.66	828.44	19.52	6842.29	1597.99
159	1331.713989	1331.49	1332.04	1	616	5.65	4899.97	171.47	11593.41	9599.55
160	1334.673340	1334.50	1335.06	1	108	0.99	1023.91	21.27	7894.33	1029.16
161	1338.017822	1337.90	1338.40	1	154	1.41	987.95	45.77	13582.46	2254.67
162	1343.797607	1343.72	1344.36	1	88	0.81	679.91	18.94	14916.52	1078.20
163	1345.658813	1345.51	1346.09	1	4642	42.59	32756.52	1336.93	12180.81	66147.78
164	1359.669922	1359.50	1360.10	1	113	1.04	1037.78	36.23	9220.54	2553.85
165	1361.634766	1361.50	1362.22	1	644	5.90	4396.34	177.57	13030.97	7783.91
166	1368.025269	1367.91	1368.44	1	72	0.66	498.16	18.69	14203.88	845.93
167	1373.108521	1373.01	1373.36	1	42	0.38	208.79	13.15	18654.24	519.52
168	1373.747559	1373.52	1374.01	1	60	0.55	605.36	14.94	8448.75	884.57
169	1374.110107	1374.01	1374.44	1	62	0.57	324.14	13.17	18698.85	348.97
170	1375.717651	1375.53	1376.04	1	863	7.92	8009.24	248.66	8026.98	15217.20
171	1387.817505	1387.49	1388.48	1	49	0.45	629.51	13.34	8120.71	976.98
172	1389.747437	1389.51	1390.32	1	125	1.15	1411.71	37.53	5957.52	2747.55
173	1391.712891	1391.49	1392.45	1	67	0.61	897.67	12.13	5801.99	643.79
174	1396.059814	1395.92	1396.37	1	132	1.21	859.56	42.09	13879.27	2057.98
175	1416.697754	1416.56	1417.42	1	230	2.11	1660.35	79.81	12967.14	4055.01
176	1419.774536	1419.40	1420.36	1	597	5.48	3872.36	186.61	13945.79	7588.84
177	1426.067993	1425.95	1426.47	1	64	0.59	427.85	18.83	14919.99	773.78
178	1433.808960	1433.40	1434.47	1	99	0.91	952.98	31.93	10956.87	1898.12
179	1450.700562	1450.55	1451.07	1	67	0.61	552.48	22.91	12040.67	1276.76
180	1454.106079	1453.97	1454.48	1	108	0.99	699.36	38.69	14580.22	1793.87
