Index	Centroid Mass	Lower Bound	Upper Bound	Charge (z)	Height	Relative Intensity	Area	S/N Ratio	Resolution	Isotope Cluster Area
252	1957.967529	1957.60	1958.61	1	39	0.36	376.51	12.86	10822.99	531.10
253	1962.987671	1962.77	1963.41	1	35	0.32	344.75	11.93	8064.59	583.44
254	1971.956421	1971.75	1972.57	1	76	0.69	583.57	38.32	13112.23	2007.03
255	1973.979248	1973.75	1974.70	1	394	3.62	3468.16	177.43	11091.11	8175.33
256	1985.996582	1985.79	1986.52	1	24	0.22	233.59	11.27	8770.50	934.43
257	1987.988159	1987.75	1988.70	1	5127	47.04	47028.63	2562.46	11071.11	132188.70
258	2001.977783	2001.70	2002.66	1	138	1.27	1164.68	78.11	11614.87	3976.09
259	2003.962769	2003.75	2004.65	1	495	4.54	3549.23	226.45	13445.10	7553.44
260	2010.018066	2009.79	2010.70	1	120	1.10	1021.85	62.35	11786.73	2925.50
261	2017.992188	2017.71	2018.78	1	70	0.64	622.50	32.97	11741.05	1526.82
262	2021.992432	2021.72	2022.41	1	28	0.25	234.73	11.88	12090.63	609.09
263	2029.014893	2028.73	2029.63	1	35	0.32	335.03	17.99	10772.32	1084.75
264	2040.034790	2039.77	2040.66	1	29	0.27	269.56	11.26	10908.59	503.35
265	2063.011963	2062.68	2063.69	1	214	1.96	1822.15	118.95	12193.50	5578.55
266	2081.064941	2080.81	2081.78	1	106	0.98	1008.34	56.40	10307.18	2882.61
267	2097.067871	2096.82	2097.79	1	39	0.36	429.60	13.30	8947.49	577.57
268	2109.079346	2108.80	2109.46	1	27	0.25	218.07	10.39	8797.14	735.62
269	2110.058594	2109.83	2110.51	1	44	0.40	378.64	11.16	11066.33	401.34
270	2119.050781	2118.77	2119.75	1	64	0.59	584.68	31.35	10610.80	2031.91
271	2136.076416	2135.82	2136.75	1	232	2.13	2196.69	135.82	10775.08	7106.07
272	2150.089844	2149.84	2150.50	1	60	0.55	514.19	28.20	10422.21	1321.55
273	2151.075195	2150.83	2151.84	1	553	5.07	5059.83	305.34	11412.96	13923.94
274	2158.045654	2157.80	2158.52	1	23	0.22	200.90	11.61	10326.35	717.20
275	2160.070313	2159.75	2160.74	1	50	0.45	454.68	22.69	10348.13	1061.39
276	2167.065674	2166.77	2167.51	1	41	0.37	331.02	16.87	11557.68	662.16
277	2168.076172	2167.83	2168.82	1	40	0.36	401.66	10.15	9989.25	289.75
278	2176.066895	2175.83	2176.55	1	88	0.80	741.99	50.36	10923.00	2928.81
279	2178.089355	2177.72	2178.83	1	378	3.47	3754.58	196.32	10278.17	9332.22
280	2190.093262	2189.83	2190.48	1	29	0.27	235.53	13.90	10769.05	988.88
281	2192.101074	2191.42	2192.82	1	6479	59.44	70869.60	3906.20	9531.68	221675.56
282	2206.091309	2205.70	2206.84	1	119	1.09	1113.57	76.15	11087.30	4333.29
283	2208.076416	2207.69	2208.84	1	616	5.65	4985.64	330.39	12059.04	12409.67
284	2222.101563	2221.74	2222.75	1	88	0.80	816.77	50.49	10887.23	2561.63
285	2239.113525	2238.83	2239.56	1	31	0.28	254.67	12.63	11076.58	518.10
286	2241.139893	2240.87	2241.85	1	36	0.33	380.33	15.16	9693.46	739.45
287	2244.142090	2243.84	2244.87	1	40	0.37	390.65	17.74	10541.29	819.54
288	2255.158203	2254.85	2255.91	1	92	0.84	969.68	53.69	9321.02	3150.31
289	2267.123047	2266.87	2267.88	1	318	2.91	3318.63	201.77	10137.70	11204.68
290	2284.125732	2283.85	2284.87	1	30	0.28	255.84	10.19	10583.46	345.49
291	2285.157471	2284.87	2285.58	1	44	0.41	388.92	18.94	9750.00	761.70
292	2286.166748	2285.83	2286.87	1	49	0.44	496.75	11.68	9243.97	285.09
293	2313.189941	2312.94	2313.81	1	30	0.28	271.58	11.27	9066.82	458.05
294	2314.215332	2313.93	2314.70	1	37	0.34	410.92	13.11	7859.89	558.15
295	2323.177246	2322.91	2323.78	1	22	0.20	167.00	10.20	8627.14	731.01
296	2326.205566	2325.94	2326.93	1	52	0.47	528.79	32.16	8733.40	1834.18
297	2340.198975	2339.92	2340.92	1	342	3.14	3833.74	246.02	9425.23	13398.21
298	2352.195801	2351.83	2352.84	1	21	0.19	189.51	10.39	8904.43	516.03
299	2353.195313	2352.84	2353.79	1	31	0.29	290.18	12.19	10511.11	420.22
300	2354.204834	2353.92	2354.93	1	99	0.91	1014.08	70.56	9710.80	3644.20
301	2355.204102	2354.93	2355.91	1	201	1.84	2079.92	92.70	9874.02	2943.54
302	2362.161865	2361.87	2362.85	1	30	0.27	275.07	17.89	10493.94	893.78
303	2364.188721	2363.91	2364.89	1	64	0.59	628.70	37.80	10129.41	1688.81
304	2368.195313	2367.91	2368.92	1	30	0.27	275.56	12.00	9426.75	412.45
305	2380.191650	2379.79	2380.88	1	103	0.94	1114.35	82.49	9027.10	4884.30
306	2382.198730	2381.89	2382.91	1	347	3.19	3731.39	212.55	9391.23	8449.93
307	2394.220459	2393.73	2394.69	1	38	0.35	434.09	23.81	8850.84	2144.08
308	2396.216553	2395.50	2396.90	1	9300	85.32	123970.98	7295.14	8025.27	423376.94
309	2410.212646	2409.80	2410.92	1	102	0.94	1109.37	87.49	9098.83	4871.44
310	2412.192871	2411.91	2412.90	1	815	7.48	8322.36	623.10	10051.21	25015.45
311	2424.230957	2423.90	2424.87	1	17	0.15	132.09	10.30	9989.59	607.73
312	2426.209961	2425.86	2426.91	1	136	1.25	1452.76	112.02	9762.04	5286.70
313	2430.239502	2429.95	2430.94	1	50	0.46	506.70	14.08	8975.89	254.65
314	2431.250977	2430.94	2431.89	1	31	0.29	331.04	11.09	8326.42	308.12
315	2444.231445	2443.82	2444.74	1	25	0.23	229.31	13.17	9321.76	490.68
316	2471.229004	2470.79	2471.92	1	63	0.58	642.70	55.37	9576.30	2447.52
